Date,cf_200,cf_2000
2018-01-02,0.116880,0.003790
2018-01-07,0.000093,0.000000
2018-01-10,0.002153,0.000000
2018-01-15,0.017624,0.000003
2018-01-17,0.221454,0.004594
2018-01-20,0.099127,0.000379
2018-01-22,0.072455,0.001460
2018-01-27,0.000037,0.000000
2018-01-30,0.005620,0.000000
2018-02-04,0.022453,0.000377
2018-02-06,0.095220,0.000493
2018-02-09,0.003012,0.000000
2018-02-11,0.005530,0.000000
2018-02-14,0.000131,0.000000
2018-02-16,0.060739,0.000366
2018-02-19,0.000000,0.000000
2018-02-21,0.000000,0.000000
2018-02-24,0.000000,0.000000
2018-02-26,0.033779,0.000000
2018-03-01,0.006244,0.000773
2018-03-03,0.080413,0.001232
2018-03-06,0.055562,0.000489
2018-03-08,0.047465,0.000992
2018-03-11,0.003652,0.000004
2018-03-13,0.009756,0.000072
2018-03-16,0.020873,0.000002
2018-03-18,0.002029,0.000000
2018-03-21,0.028569,0.000303
2018-03-23,0.127463,0.006160
2018-03-26,0.000761,0.000000
2018-03-28,0.004798,0.000000
2018-03-31,0.038730,0.000000
2018-04-02,0.000008,0.000000
2018-04-05,0.003966,0.000000
2018-04-07,0.004352,0.000000
2018-04-10,0.000000,0.000000
2018-04-12,0.009699,0.000006
2018-04-15,0.030818,0.000004
2018-04-17,0.001545,0.000000
2018-04-20,0.136676,0.003825
2018-04-22,0.063938,0.006362
2018-04-25,0.165559,0.000185
2018-04-27,0.021890,0.000664
2018-04-30,0.000698,0.000000
2018-05-02,0.002839,0.000000
2018-05-05,0.029966,0.000000
2018-05-07,0.111877,0.021020
2018-05-10,0.000000,0.000000
2018-05-12,0.000190,0.000000
2018-05-15,0.001895,0.000000
2018-05-17,0.050161,0.000194
2018-05-20,0.064218,0.000003
2018-05-22,0.000000,0.000000
2018-05-25,0.135382,0.000208
2018-05-30,0.103618,0.000681
2018-06-01,0.075943,0.000172
2018-06-04,0.128540,0.000432
2018-06-06,0.062701,0.000045
2018-06-09,0.077527,0.000830
2018-06-11,0.129993,0.007584
2018-06-14,0.091914,0.019632
2018-06-16,0.074640,0.002598
2018-06-19,0.093048,0.000893
2018-06-21,0.100102,0.000076
2018-06-24,0.000915,0.000000
2018-06-26,0.143514,0.002105
2018-06-29,0.071452,0.001061
2018-07-01,0.093681,0.000141
2018-07-04,0.000316,0.000000
2018-07-06,0.135477,0.001110
2018-07-09,0.057079,0.000004
2018-07-11,0.000000,0.000000
2018-07-14,0.470667,0.189733
2018-07-16,0.110566,0.001543
2018-07-19,0.130902,0.002164
2018-07-21,0.147648,0.002064
2018-07-24,0.000000,0.000000
2018-07-26,0.029957,0.000000
2018-07-29,0.144324,0.000259
2018-07-31,0.064459,0.001858
2018-08-03,0.087552,0.000435
2018-08-05,0.207718,0.002186
2018-08-08,0.149511,0.001157
2018-08-10,0.508340,0.081590
2018-08-13,0.267133,0.005096
2018-08-15,0.557553,0.074953
2018-08-18,0.191421,0.003096
2018-08-20,0.217012,0.002060
2018-08-23,0.591226,0.112314
2018-08-25,0.108581,0.000128
2018-08-28,0.034857,0.000003
2018-08-30,0.022023,0.000000
2018-09-02,0.155408,0.000245
2018-09-04,0.335499,0.005784
2018-09-07,0.090911,0.000018
2018-09-09,0.008589,0.000043
2018-09-12,0.015437,0.000000
2018-09-14,0.185571,0.001814
2018-09-17,0.225388,0.000585
2018-09-19,0.428962,0.024974
2018-09-22,0.165228,0.000532
2018-09-24,0.326025,0.001004
2018-09-27,0.259952,0.001316
2018-09-29,0.124871,0.000054
2018-10-02,0.491368,0.046346
2018-10-04,0.167585,0.000119
2018-10-07,0.262568,0.000125
2018-10-09,0.310223,0.001585
2018-10-12,0.290690,0.004147
2018-10-14,0.877483,0.531763
2018-10-17,0.207501,0.035838
2018-10-19,0.035319,0.000000
2018-10-22,0.165809,0.001043
2018-10-24,0.081829,0.001383
2018-10-27,0.270765,0.002656
2018-10-29,0.207032,0.005048
2018-11-01,0.227302,0.001862
2018-11-03,0.079036,0.000888
2018-11-06,0.131898,0.000086
2018-11-08,0.459577,0.036848
2018-11-11,0.397323,0.016442
2018-11-13,0.101188,0.000419
2018-11-16,0.094295,0.000080
2018-11-18,0.534636,0.116348
2018-11-21,0.070663,0.000044
2018-11-23,0.193098,0.003771
2018-11-26,0.058324,0.000357
2018-11-28,0.000000,0.000000
2018-12-01,0.069618,0.001674
2018-12-03,0.000000,0.000000
2018-12-06,0.000122,0.000000
2018-12-08,0.000829,0.000000
2018-12-11,0.069362,0.001796
2018-12-13,0.051204,0.000090
2018-12-16,0.153882,0.001498
