sample,wavelength,reflectance
Kaolinite,2040.3,0.5095519
Montmorillonite,2040.3,0.4929323
Saponite,2040.3,0.44241706
Hectorite,2040.3,0.408348
Sepiolite,2040.3,0.43508393
Magnesite,2040.3,0.5825419
Vermiculite,2040.3,0.745365
Bentonite,2040.3,0.19664535
Buddingtonite,2040.3,0.44453546
maple,2040.3,0.14726451
Fresh Pine Needles,2040.3,0.06603354
Brown Pine Needles,2040.3,0.15574959
Dried Green Needles,2040.3,0.1741675
"Oak leaf, scenesced",2040.3,0.33509853
"Oak leaf, one year old",2040.3,0.1588853
CerCis_spec,2040.3,0.1637103
EucGlo_NPV_spec,2040.3,0.48180524
CorSel_NPV_spec,2040.3,0.7007161
HetArb_NPV_spec,2040.3,0.3214598
EucGlo_spec,2040.3,0.13804758
CorSel_spec,2040.3,0.23691396
"Oak leaf, new growth",2040.3,0.15496919
polysterene,2040.3,2.1150472
Pine Bark,2040.3,0.343431
HDPE_film,2040.3,8.703623
PVC,2040.3,1.0744426
sycamore bark,2040.3,0.39025208
HDPE_bottle,2040.3,7.331883
HetArb_spec,2040.3,0.10590053
Kaolinite,2041,0.5093286
Montmorillonite,2041,0.49341488
Saponite,2041,0.44285524
Hectorite,2041,0.4087904
Sepiolite,2041,0.43542686
Magnesite,2041,0.58274496
Vermiculite,2041,0.7463323
Bentonite,2041,0.19721748
Buddingtonite,2041,0.4447536
maple,2041,0.14777716
Fresh Pine Needles,2041,0.06619866
Brown Pine Needles,2041,0.15528922
Dried Green Needles,2041,0.17369992
"Oak leaf, scenesced",2041,0.33419964
"Oak leaf, one year old",2041,0.15918292
CerCis_spec,2041,0.1645779
EucGlo_NPV_spec,2041,0.48076206
CorSel_NPV_spec,2041,0.6997768
HetArb_NPV_spec,2041,0.32082924
EucGlo_spec,2041,0.1383528
CorSel_spec,2041,0.23760433
"Oak leaf, new growth",2041,0.15507978
polysterene,2041,2.1148846
Pine Bark,2041,0.342795
HDPE_film,2041,8.714299
PVC,2041,1.0739468
sycamore bark,2041,0.38972846
HDPE_bottle,2041,7.32764
HetArb_spec,2041,0.10615097
Kaolinite,2041.7,0.5090815
Montmorillonite,2041.7,0.49391893
Saponite,2041.7,0.4432543
Hectorite,2041.7,0.40921402
Sepiolite,2041.7,0.4356625
Magnesite,2041.7,0.5828807
Vermiculite,2041.7,0.74745274
Bentonite,2041.7,0.1978017
Buddingtonite,2041.7,0.44477674
maple,2041.7,0.14829157
Fresh Pine Needles,2041.7,0.06634625
Brown Pine Needles,2041.7,0.15482526
Dried Green Needles,2041.7,0.17321743
"Oak leaf, scenesced",2041.7,0.33338255
"Oak leaf, one year old",2041.7,0.15950231
CerCis_spec,2041.7,0.16533558
EucGlo_NPV_spec,2041.7,0.4796398
CorSel_NPV_spec,2041.7,0.69789344
HetArb_NPV_spec,2041.7,0.32021984
EucGlo_spec,2041.7,0.13867767
CorSel_spec,2041.7,0.23844533
"Oak leaf, new growth",2041.7,0.1552521
polysterene,2041.7,2.1148818
Pine Bark,2041.7,0.34222347
HDPE_film,2041.7,8.725724
PVC,2041.7,1.0735422
sycamore bark,2041.7,0.38922453
HDPE_bottle,2041.7,7.322009
HetArb_spec,2041.7,0.10635809
Kaolinite,2042.4,0.5088319
Montmorillonite,2042.4,0.49445105
Saponite,2042.4,0.44370446
Hectorite,2042.4,0.40961668
Sepiolite,2042.4,0.4359228
Magnesite,2042.4,0.58306587
Vermiculite,2042.4,0.7487478
Bentonite,2042.4,0.19838496
Buddingtonite,2042.4,0.44478288
maple,2042.4,0.14885387
Fresh Pine Needles,2042.4,0.066469476
Brown Pine Needles,2042.4,0.15436806
Dried Green Needles,2042.4,0.17275134
"Oak leaf, scenesced",2042.4,0.3326305
"Oak leaf, one year old",2042.4,0.15982564
CerCis_spec,2042.4,0.1659609
EucGlo_NPV_spec,2042.4,0.4785005
CorSel_NPV_spec,2042.4,0.6955625
HetArb_NPV_spec,2042.4,0.31965482
EucGlo_spec,2042.4,0.13902465
CorSel_spec,2042.4,0.2393393
"Oak leaf, new growth",2042.4,0.15549204
polysterene,2042.4,2.114898
Pine Bark,2042.4,0.34172398
HDPE_film,2042.4,8.737056
PVC,2042.4,1.0732399
sycamore bark,2042.4,0.38866338
HDPE_bottle,2042.4,7.315963
HetArb_spec,2042.4,0.10656429
Kaolinite,2043.1,0.5085907
Montmorillonite,2043.1,0.4950366
Saponite,2043.1,0.4442574
Hectorite,2043.1,0.4100306
Sepiolite,2043.1,0.43630996
Magnesite,2043.1,0.58339596
Vermiculite,2043.1,0.74994665
Bentonite,2043.1,0.19898222
Buddingtonite,2043.1,0.4449395
maple,2043.1,0.14949338
Fresh Pine Needles,2043.1,0.06657471
Brown Pine Needles,2043.1,0.15392675
Dried Green Needles,2043.1,0.17232668
"Oak leaf, scenesced",2043.1,0.3319376
"Oak leaf, one year old",2043.1,0.16015987
CerCis_spec,2043.1,0.16654044
EucGlo_NPV_spec,2043.1,0.4773504
CorSel_NPV_spec,2043.1,0.69333446
HetArb_NPV_spec,2043.1,0.31907868
EucGlo_spec,2043.1,0.13936467
CorSel_spec,2043.1,0.24017979
"Oak leaf, new growth",2043.1,0.15579659
polysterene,2043.1,2.1144197
Pine Bark,2043.1,0.34123254
HDPE_film,2043.1,8.744124
PVC,2043.1,1.0728787
sycamore bark,2043.1,0.38801005
HDPE_bottle,2043.1,7.30874
HetArb_spec,2043.1,0.10681787
Kaolinite,2043.8,0.50834227
Montmorillonite,2043.8,0.4956394
Saponite,2043.8,0.44485837
Hectorite,2043.8,0.4104478
Sepiolite,2043.8,0.4367911
Magnesite,2043.8,0.5838455
Vermiculite,2043.8,0.75073963
Bentonite,2043.8,0.19957896
Buddingtonite,2043.8,0.4452485
maple,2043.8,0.150157
Fresh Pine Needles,2043.8,0.06666878
Brown Pine Needles,2043.8,0.15348542
Dried Green Needles,2043.8,0.17192198
"Oak leaf, scenesced",2043.8,0.33128774
"Oak leaf, one year old",2043.8,0.16050617
CerCis_spec,2043.8,0.1671502
EucGlo_NPV_spec,2043.8,0.47618395
CorSel_NPV_spec,2043.8,0.6913559
HetArb_NPV_spec,2043.8,0.31850588
EucGlo_spec,2043.8,0.1396735
CorSel_spec,2043.8,0.24087745
"Oak leaf, new growth",2043.8,0.15612532
polysterene,2043.8,2.113634
Pine Bark,2043.8,0.34071568
HDPE_film,2043.8,8.74745
PVC,2043.8,1.0724127
sycamore bark,2043.8,0.38726932
HDPE_bottle,2043.8,7.300473
HetArb_spec,2043.8,0.10709363
Kaolinite,2044.5,0.50806266
Montmorillonite,2044.5,0.49626657
Saponite,2044.5,0.44541112
Hectorite,2044.5,0.41084343
Sepiolite,2044.5,0.43725792
Magnesite,2044.5,0.5842972
Vermiculite,2044.5,0.7510076
Bentonite,2044.5,0.20017192
Buddingtonite,2044.5,0.44559947
maple,2044.5,0.15077712
Fresh Pine Needles,2044.5,0.06676621
Brown Pine Needles,2044.5,0.1530374
Dried Green Needles,2044.5,0.17152737
"Oak leaf, scenesced",2044.5,0.3306819
"Oak leaf, one year old",2044.5,0.16086583
CerCis_spec,2044.5,0.16781877
EucGlo_NPV_spec,2044.5,0.4750093
CorSel_NPV_spec,2044.5,0.6894019
HetArb_NPV_spec,2044.5,0.31790802
EucGlo_spec,2044.5,0.13994151
CorSel_spec,2044.5,0.24151073
"Oak leaf, new growth",2044.5,0.15648077
polysterene,2044.5,2.1127844
Pine Bark,2044.5,0.3401596
HDPE_film,2044.5,8.747694
PVC,2044.5,1.071832
sycamore bark,2044.5,0.386546
HDPE_bottle,2044.5,7.2918234
HetArb_spec,2044.5,0.10736942
Kaolinite,2045.2,0.50776243
Montmorillonite,2045.2,0.49688295
Saponite,2045.2,0.44586414
Hectorite,2045.2,0.41119263
Sepiolite,2045.2,0.43763542
Magnesite,2045.2,0.5846529
Vermiculite,2045.2,0.7509569
Bentonite,2045.2,0.20072672
Buddingtonite,2045.2,0.44589004
maple,2045.2,0.15130804
Fresh Pine Needles,2045.2,0.06686528
Brown Pine Needles,2045.2,0.1525749
Dried Green Needles,2045.2,0.17112017
"Oak leaf, scenesced",2045.2,0.33006075
"Oak leaf, one year old",2045.2,0.16120818
CerCis_spec,2045.2,0.16845725
EucGlo_NPV_spec,2045.2,0.47386143
CorSel_NPV_spec,2045.2,0.68743247
HetArb_NPV_spec,2045.2,0.31730407
EucGlo_spec,2045.2,0.14017427
CorSel_spec,2045.2,0.2420939
"Oak leaf, new growth",2045.2,0.15681624
polysterene,2045.2,2.112473
Pine Bark,2045.2,0.33956817
HDPE_film,2045.2,8.74981
PVC,2045.2,1.0712575
sycamore bark,2045.2,0.38591167
HDPE_bottle,2045.2,7.28565
HetArb_spec,2045.2,0.107603066
Kaolinite,2045.9,0.5074599
Montmorillonite,2045.9,0.49748093
Saponite,2045.9,0.4462464
Hectorite,2045.9,0.41149774
Sepiolite,2045.9,0.4379298
Magnesite,2045.9,0.5848934
Vermiculite,2045.9,0.75100046
Bentonite,2045.9,0.20122841
Buddingtonite,2045.9,0.4460862
maple,2045.9,0.1517778
Fresh Pine Needles,2045.9,0.06696739
Brown Pine Needles,2045.9,0.15210842
Dried Green Needles,2045.9,0.17070709
"Oak leaf, scenesced",2045.9,0.32940668
"Oak leaf, one year old",2045.9,0.16150662
CerCis_spec,2045.9,0.1690671
EucGlo_NPV_spec,2045.9,0.47279057
CorSel_NPV_spec,2045.9,0.68543833
HetArb_NPV_spec,2045.9,0.31666753
EucGlo_spec,2045.9,0.1403971
CorSel_spec,2045.9,0.2426655
"Oak leaf, new growth",2045.9,0.15714186
polysterene,2045.9,2.1125233
Pine Bark,2045.9,0.33895287
HDPE_film,2045.9,8.752975
PVC,2045.9,1.0706786
sycamore bark,2045.9,0.38539279
HDPE_bottle,2045.9,7.282015
HetArb_spec,2045.9,0.10780647
Kaolinite,2046.6,0.507172
Montmorillonite,2046.6,0.4980308
Saponite,2046.6,0.44662815
