sample,wavelength,reflectance
Saponite,2040.3,0.44241706
Hectorite,2040.3,0.408348
Sepiolite,2040.3,0.43508393
Magnesite,2040.3,0.5825419
Vermiculite,2040.3,0.745365
Maple Leaf,2040.3,0.14726451
"Oak leaf, scenesced",2040.3,0.33509853
"Oak leaf, one year old",2040.3,0.1588853
"Oak leaf, new growth",2040.3,0.15496919
Polysterene,2040.3,0.21150472
HDPE film,2040.3,0.8703623
PVC,2040.3,0.10744426
HDPE bottle,2040.3,0.7331883
Saponite,2041,0.44285524
Hectorite,2041,0.4087904
Sepiolite,2041,0.43542686
Magnesite,2041,0.58274496
Vermiculite,2041,0.7463323
Maple Leaf,2041,0.14777716
"Oak leaf, scenesced",2041,0.33419964
"Oak leaf, one year old",2041,0.15918292
"Oak leaf, new growth",2041,0.15507978
Polysterene,2041,0.21148846
HDPE film,2041,0.8714299
PVC,2041,0.10739468
HDPE bottle,2041,0.732764
Saponite,2041.7,0.4432543
Hectorite,2041.7,0.40921402
Sepiolite,2041.7,0.4356625
Magnesite,2041.7,0.5828807
Vermiculite,2041.7,0.74745274
Maple Leaf,2041.7,0.14829157
"Oak leaf, scenesced",2041.7,0.33338255
"Oak leaf, one year old",2041.7,0.15950231
"Oak leaf, new growth",2041.7,0.1552521
Polysterene,2041.7,0.21148818
HDPE film,2041.7,0.8725724
PVC,2041.7,0.10735422
HDPE bottle,2041.7,0.7322009
Saponite,2042.4,0.44370446
Hectorite,2042.4,0.40961668
Sepiolite,2042.4,0.4359228
Magnesite,2042.4,0.58306587
Vermiculite,2042.4,0.7487478
Maple Leaf,2042.4,0.14885387
"Oak leaf, scenesced",2042.4,0.3326305
"Oak leaf, one year old",2042.4,0.15982564
"Oak leaf, new growth",2042.4,0.15549204
Polysterene,2042.4,0.2114898
HDPE film,2042.4,0.8737056
PVC,2042.4,0.10732399
HDPE bottle,2042.4,0.7315963
Saponite,2043.1,0.4442574
Hectorite,2043.1,0.4100306
Sepiolite,2043.1,0.43630996
Magnesite,2043.1,0.58339596
Vermiculite,2043.1,0.74994665
Maple Leaf,2043.1,0.14949338
"Oak leaf, scenesced",2043.1,0.3319376
"Oak leaf, one year old",2043.1,0.16015987
"Oak leaf, new growth",2043.1,0.15579659
Polysterene,2043.1,0.21144197
HDPE film,2043.1,0.8744124
PVC,2043.1,0.10728787
HDPE bottle,2043.1,0.730874
Saponite,2043.8,0.44485837
Hectorite,2043.8,0.4104478
Sepiolite,2043.8,0.4367911
Magnesite,2043.8,0.5838455
Vermiculite,2043.8,0.75073963
Maple Leaf,2043.8,0.150157
"Oak leaf, scenesced",2043.8,0.33128774
"Oak leaf, one year old",2043.8,0.16050617
"Oak leaf, new growth",2043.8,0.15612532
Polysterene,2043.8,0.2113634
HDPE film,2043.8,0.874745
PVC,2043.8,0.10724127
HDPE bottle,2043.8,0.7300473
Saponite,2044.5,0.44541112
Hectorite,2044.5,0.41084343
Sepiolite,2044.5,0.43725792
Magnesite,2044.5,0.5842972
Vermiculite,2044.5,0.7510076
Maple Leaf,2044.5,0.15077712
"Oak leaf, scenesced",2044.5,0.3306819
"Oak leaf, one year old",2044.5,0.16086583
"Oak leaf, new growth",2044.5,0.15648077
Polysterene,2044.5,0.21127844
HDPE film,2044.5,0.8747694
PVC,2044.5,0.1071832
HDPE bottle,2044.5,0.72918234
Saponite,2045.2,0.44586414
Hectorite,2045.2,0.41119263
Sepiolite,2045.2,0.43763542
Magnesite,2045.2,0.5846529
Vermiculite,2045.2,0.7509569
Maple Leaf,2045.2,0.15130804
